unit,city,county,zip_code,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,lot_size,year_built,current_price,hoa_fee,price_per_sq_ft,listing_type,listed_year,listed_month,listed_dayofweek,log_price,log_sqft,price_per_sqft_calc,county_avg_price,price_vs_county_avg,county_avg_ppsf,ppsf_vs_county_avg,actual_dom,pred_dom,risk_level,risk_score_0_100,listing_id,overpriced_flag,recommended_action
Unknown,Nolanville,Bell,76559,31.062637,-97.626308,Single Family,4,3,2043,0,2026,365900,0,179.1,New Construction,2026,1,3,12.81011808399072,7.622663951323595,179.09936368086147,373115.94434470375,0.9806603163062974,228.19667605633805,0.0,31.0,18.56549750571135,Low,5.08643767279763,e518ec079b557d80,False,No action needed
Unknown,Midlothian,Ellis,76065,32.490345,-96.955626,Single Family,4,4,3138,10716,2017,489000,25,155.83,Standard,2025,4,3,13.100119813444692,8.051659556841953,155.83173996175907,770936.781420765,0.6342932543688191,228.19667605633805,0.0,290.0,180.2845721824588,High,49.393033474646245,05b25616e31a283d,False,Review listing – market or property type issue
Unknown,Fresno,Fort Bend,77545,29.517489,-95.453808,Land,0,0,0,9374,0,213000,0,204.905,Standard,2026,1,5,12.269052139516223,0.0,204.9044119561962,530801.0407239819,0.40128029837597967,228.19667605633805,0.0,22.0,35.4954387378331,Low,9.72477773639263,f75f962725c7a418,False,No action needed
Unknown,La Marque,Galveston,77568,29.362786,-94.952345,Single Family,3,2,1832,6125,2021,120000,0,65.5,Standard,2025,11,3,11.695255355062795,7.513709247839705,65.50218340611353,492595.00833333336,0.24360782787063362,228.19667605633805,0.0,73.0,89.4597258185209,Medium,24.509513922882437,0c60d64f9288919a,False,Monitor closely
Unit 20,Austin,Travis,78735,30.289722,-97.861903,Condo,4,4,3772,21710,1998,2335000,410,619.03,Standard,2025,8,6,14.663522877350568,8.235625719964311,619.0349946977731,896095.4340966921,2.605749244056571,228.19667605633805,0.0,160.0,216.17885984600167,High,59.22708488931553,5e9bf49f2ed10f79,True,Reduce price – likely overpriced
Unknown,Austin,Travis,78748,30.172314,-97.808938,Single Family,4,3,2423,6020,2016,439000,160,181.18,Standard,2025,11,3,12.992256969959042,7.793174347189205,181.1803549319026,896095.4340966921,0.4899031769339762,228.19667605633805,0.0,86.0,93.8330006528123,Medium,25.7076714117294,476881ccbeba8747,False,Monitor closely
Unknown,Austin,Travis,78753,30.366334,-97.674107,Single Family,3,2,1891,10977,1964,395000,0,208.88,Standard,2025,10,6,12.886643575525625,7.545389749611823,208.8841882601798,896095.4340966921,0.4408012639838738,228.19667605633805,0.0,111.0,115.30848915637827,Medium,31.59136689215843,196a008fe5baac08,False,Monitor closely
Unknown,Anna,Collin,75409,33.323821,-96.531015,Single Family,4,3,2059,0,2026,373268,0,181.29,New Construction,2026,1,3,12.830054618325553,7.630461261783627,181.28606119475472,484839.43902439025,0.7698796136533407,200.07493902439026,0.9061104848213885,10.0,9.995287085958047,Low,2.738434818070698,735f19687399399b,False,No action needed
Unknown,Bartlett,Bell,76511,30.817163,-97.332043,Land,0,0,0,10152965,0,2913500,0,204.905,Standard,2026,1,3,14.884866008794999,0.0,204.9044119561962,373115.94434470375,7.808564721394909,228.19667605633805,0.0,24.0,18.397827869241183,Low,5.0405007860934745,f3433ea721218613,True,No action needed
Apt 107,Austin,Travis,78741,30.240805,-97.731826,Condo,1,1,563,1520,1982,199000,200,353.46,Standard,2025,11,4,12.201065128819632,6.335054251498059,353.46358792184725,896095.4340966921,0.2220745608425086,228.19667605633805,0.0,85.0,137.06171699845456,High,37.55115534204234,4ca4cadb1fde0ec7,False,Review listing – market or property type issue
Lot 6,Canyon Lake,Comal,78133,29.878859,-98.320564,Land,0,0,0,296208,0,459000,82,204.905,Standard,2025,9,3,13.036807667689546,0.0,204.9044119561962,512950.5472440945,0.8948231022776911,228.19667605633805,0.0,150.0,150.84276492390637,High,41.32678491065928,f20447dea5d7b7c8,False,Review listing – market or property type issue
Unknown,Springtown,Parker,76082,32.996775,-97.774814,Land,0,0,0,217800,0,165000,42,204.905,Standard,2025,6,0,12.013706813470414,0.0,204.9044119561962,542972.1714285715,0.3038829772175643,228.19667605633805,0.0,223.0,514.2984185754395,High,100.0,fcbbdef4bb989336,False,Review listing – market or property type issue
Unknown,Austin,Travis,78738,30.301586,-98.024597,Single Family,4,5,4365,9100,2023,1225000,83,280.64,Standard,2025,11,5,14.018452218287162,8.38160253710989,280.6414662084765,896095.4340966921,1.3670418946335328,228.19667605633805,0.0,70.0,104.94757677571842,Medium,28.752760760470796,dbac4970a4eacb14,True,Monitor closely
Unknown,Austin,Travis,78748,30.184057,-97.838955,Single Family,4,3,1957,15072,1998,645000,17,329.59,Standard,2025,10,6,13.377007146164305,7.579678823090456,329.58610117526825,896095.4340966921,0.7197894057458193,228.19667605633805,0.0,118.0,106.51519128448584,Medium,29.182244187530365,9a4fa0283faa8e51,False,Monitor closely
Unknown,Austin,Travis,78756,30.328448,-97.740433,Single Family,5,5,2910,9108,2023,1800000,0,618.56,Standard,2025,12,4,14.403297778421795,7.976251943745623,618.5567010309278,896095.4340966921,2.0087146206860074,228.19667605633805,0.0,37.0,102.95841136443623,Medium,28.207783935461983,b0455e123fe0fba8,True,Monitor closely
Unknown,El Paso,El Paso,79924,31.906816,-106.417263,Single Family,4,2,1329,6098,1961,199000,0,149.74,Standard,2025,11,2,12.201065128819632,7.1929342212158,149.73664409330323,355391.04938271607,0.5599465725027291,228.19667605633805,0.0,74.0,93.66274035648311,Medium,25.661024755200852,83ced435fe9cb733,False,Monitor closely
Unit 26,Austin,Williamson,78717,30.502608,-97.774832,Single Family,8,9,10991,37462,2006,3295000,179,299.79,Standard,2024,5,3,15.007917029408835,9.30492301446213,299.7907378764444,560054.5521126761,5.883355447376288,228.19667605633805,1.3137351743282482,611.0,151.5060080092542,High,41.50849534500115,a69076393648f21d,True,Reduce price – likely overpriced
Unknown,La Feria,Cameron,78559,26.170117,-97.843046,Single Family,4,3,2221,217800,1988,619000,0,278.7,Standard,2025,6,4,13.335862167174314,7.706162970199576,278.70328680774423,590242.6376811594,1.0487212554345742,228.19667605633805,0.0,233.0,221.5266426039175,High,60.69223085038836,d9c7fa7ef8d6eee7,False,Review listing – market or property type issue
Lot 103,Poolville,Parker,76487,32.9239,-97.7972,Land,0,0,0,146623,0,118000,0,204.905,Standard,2024,7,1,11.678448377988165,0.0,204.9044119561962,542972.1714285715,0.21732237158589449,228.19667605633805,0.0,572.0,394.3288915389119,High,100.0,9481cd5c7317de04,False,Review listing – market or property type issue
Unknown,Millsap,Parker,76066,32.667853,-97.971867,Single Family,3,2,2815,42340,2017,535000,0,190.05,Standard,2024,12,5,13.190023895035274,7.943072717277933,190.05328596802843,542972.1714285715,0.9853175321902843,228.19667605633805,0.0,414.0,268.0323939881576,High,73.43353259949524,7c83df198c3b198e,False,Review listing – market or property type issue
Unknown,Del Valle,Travis,78617,30.15068,-97.63026,Single Family,3,0,1655,0,0,297495,0,179.76,New Construction,2025,12,1,12.60315605849928,7.412160334945205,179.75528700906344,896095.4340966921,0.3319903089338799,228.19667605633805,0.0,33.0,17.21525849852475,Low,4.716509177678014,d557f301f95e87f5,False,No action needed
Unknown,Converse,Bexar,78109,29.472194,-98.311904,Single Family,3,0,1915,0,0,294990,0,154.04,New Construction,2026,1,6,12.594700126381987,7.557994958530806,154.04177545691905,389300.1256656017,0.7577444253213226,228.19667605633805,0.0,7.0,7.182359197420601,Low,1.9677696431289318,b6097d81658bc31f,False,No action needed
Unknown,Austin,Travis,78744,30.152124,-97.710693,Single Family,4,3,2191,8059,2025,535900,71,244.59,New Construction,2025,8,4,13.191704721500981,7.692569648067906,244.59151072569603,896095.4340966921,0.5980389806809063,228.19667605633805,0.0,169.0,112.28754902923009,Medium,30.763712062802767,51ba3490c3414b3b,False,Monitor closely
Unknown,El Paso,El Paso,79930,31.81594,-106.462666,Single Family,4,3,2511,7405,1958,238777,0,95.09,Standard,2025,10,3,12.383289528953421,7.828834527588089,95.09239346873755,355391.04938271607,0.6718711695602219,228.19667605633805,0.0,108.0,94.86725506661199,Medium,25.99102878537315,569436c2c4af2fc1,False,Monitor closely
Unknown,Brookshire,Fort Bend,77423,29.726069,-95.948351,Single Family,6,5,6171,223450,2010,1595000,0,258.47,Foreclosure,2026,1,5,14.282384921160133,8.72777821348305,258.4670231729055,530801.0407239819,3.0048923751628527,228.19667605633805,0.0,15.0,23.309117505470702,Low,6.386059590539918,20a3e1b213057ece,True,No action needed
Unknown,Missouri City,Fort Bend,77459,29.481059,-95.510276,Single Family,5,5,4380,12070,2022,925000,120,211.19,Standard,2026,1,4,13.73755009757506,8.385032287813898,211.18721461187215,530801.0407239819,1.7426491830881745,228.19667605633805,0.0,23.0,21.49484885699138,Low,5.888999686846954,6f739e3700446f88,True,No action needed
Unknown,Baileys Prairie,Brazoria,77515,29.150796,-95.505607,Land,0,0,0,455071,0,299500,0,204.905,Standard,2025,7,2,12.60987303543023,0.0,204.9044119561962,399642.72340425535,0.7494193750077196,228.19667605633805,0.0,200.0,176.76098037991412,High,48.42766585751072,eb41ba637378dc53,False,Review listing – market or property type issue
Unknown,Seguin,Guadalupe,78155,29.689376,-97.976172,Single Family,4,3,2210,4792,2024,317999,63,143.89,New Construction,2025,9,5,12.669806661762314,7.701200180857446,143.89095022624434,404618.875,0.7859223077519555,228.19667605633805,0.0,127.0,98.11659073787769,Medium,26.881257736404844,30444790a6cdecd0,False,Monitor closely
Unknown,Houston,Fort Bend,77083,29.682875,-95.66737,Single Family,4,3,2370,6704,1992,300000,36,126.58,Standard,2026,1,1,12.611541086966115,7.771067086065406,126.58227848101266,530801.0407239819,0.565183518839408,228.19667605633805,0.0,19.0,24.033526154952437,Low,6.584527713685599,9ddc662505ec57b2,False,No action needed
Unknown,El Paso,El Paso,79912,31.829124,-106.507573,Single Family,3,3,2828,16117,1998,735000,0,259.9,Standard,2025,11,5,13.507627138738266,7.947678571301568,259.9009900990099,355391.04938271607,2.068144375826663,228.19667605633805,0.0,71.0,98.26054361551817,Medium,26.920696880963884,e6c85569f9cf000f,True,Monitor closely
Unknown,Fort Worth,Tarrant,76133,32.643337,-97.377529,Single Family,3,3,2255,12981,1984,359900,0,159.6,Standard,2026,1,4,12.79358427261286,7.721348612617949,159.60088691796008,540550.2280701754,0.6658030675241469,228.19667605633805,0.0,16.0,16.895917857357553,Low,4.629018591056864,d539d60b1a505006,False,No action needed
Unknown,Cypress,Harris,77433,29.964374,-95.751048,Single Family,4,4,3428,0,2026,699990,0,204.2,New Construction,2026,1,1,13.45882275680003,8.14002395246292,204.1977829638273,418838.70088495576,1.6712638983002415,228.19667605633805,0.0,5.0,5.768506897947459,Low,1.5804128487527287,f2cd40d60e3dfcec,True,No action needed
